"","x1"
"563","1"
"564","0"
"565","0"
"566","0"
"567","1"
"568","1"
"569","1"
"570","1"
"571","1"
"572","1"
"573","0"
"574","0"
"575","1"
"576","0"
"577","0"
"578","0"
"579","0"
"580","0"
"581","1"
"582","0"
"583","1"
"584","0"
"585","0"
"586","1"
"587","0"
"588","0"
"589","0"
"590","0"
"591","1"
"592","1"
"593","0"
"594","1"
"595","0"
"596","1"
"597","1"
"598","0"
"599","1"
"600","0"
"601","0"
"602","0"
"603","0"
"604","1"
"605","1"
"606","0"
"607","1"
"608","1"
"609","0"
"610","0"
"611","0"
"612","0"
"613","0"
"614","1"
"615","1"
"616","1"
"617","0"
"618","1"
"619","1"
"620","0"
"621","0"
"622","0"
"623","1"
"624","0"
"625","1"
"626","0"
"627","1"
"628","1"
"629","0"
"630","0"
"631","1"
"632","0"
"633","1"
"634","1"
"635","0"
"636","1"
"637","1"
"638","1"
"639","0"
"640","0"
"641","1"
"642","0"
"643","1"
"644","1"
"645","0"
"646","1"
"647","1"
"648","0"
"649","1"
"650","1"
"651","0"
"652","1"
"653","1"
"654","0"
"655","1"
"656","0"
"657","1"
"658","0"
"659","0"
"660","1"
"661","0"
"662","0"
"663","0"
"664","0"
"665","1"
"666","0"
"667","0"
"668","0"
"669","1"
"670","0"
"671","0"
"672","0"
"673","0"
"674","1"
"675","1"
"676","0"
"677","1"
"678","1"
"679","0"
"680","0"
"681","0"
"682","0"
"683","1"
"684","0"
"685","1"
"686","0"
"687","0"
"688","0"
"689","1"
"690","1"
"691","0"
"692","1"
"693","0"
"694","0"
"695","1"
"696","0"
"697","0"
"698","0"
"699","1"
"700","0"
"701","0"
"702","1"
"703","0"
"704","1"
"705","1"
"706","0"
"707","1"
"708","1"
"709","1"
"710","0"
"711","0"
"712","0"
"713","1"
"714","0"
"715","0"
"716","0"
"717","1"
"718","0"
"719","1"
"720","0"
"721","1"
"722","1"
"723","1"
"724","1"
"725","0"
"726","1"
"727","1"
"728","1"
"729","0"
"730","0"
"731","1"
"732","1"
"733","1"
"734","0"
"735","1"
"736","0"
"737","1"
"738","0"
"739","0"
"740","1"
"741","0"
"742","0"
"743","0"
"744","1"
"745","0"
"746","1"
"747","0"
"748","0"
"749","1"
"750","0"
"751","1"
"752","0"
"753","0"
"754","1"
"755","0"
"756","0"
"757","1"
"758","0"
"759","0"
"760","1"
"761","1"
"762","1"
"763","1"
"764","0"
"765","1"
"766","0"
"767","1"
"768","1"
"769","0"
"770","1"
"771","0"
"772","1"
"773","1"
"774","1"
"775","1"
"776","1"
"777","1"
"778","0"
"779","1"
"780","0"
"781","0"
"782","0"
"783","0"
"784","1"
"785","0"
"786","1"
"787","1"
"788","1"
"789","1"
"790","0"
"791","0"
"792","0"
"793","0"
"794","1"
"795","0"
"796","1"
"797","0"
"798","0"
"799","1"
"800","0"
"801","0"
"802","0"
"803","1"
"804","1"
"805","1"
"806","0"
"807","0"
"808","0"
"809","1"
"810","0"
"811","0"
"812","0"
"813","0"
"814","0"
"815","1"
"816","0"
"817","1"
"818","1"
"819","1"
"820","0"
"821","0"
"822","1"
"823","0"
"824","0"
"825","1"
"826","1"
"827","1"
"828","1"
"829","1"
"830","0"
"831","0"
"832","1"
"833","0"
"834","1"
"835","1"
"836","0"
"837","0"
"838","0"
"839","0"
"840","1"
"841","0"
"842","0"
"843","0"
"844","1"
"845","1"
"846","1"
"847","0"
"848","0"
"849","1"
"850","0"
"851","1"
"852","1"
"853","1"
"854","0"
"855","0"
"856","0"
"857","0"
"858","0"
"859","0"
"860","1"
"861","0"
"862","1"
"863","1"
"864","0"
"865","1"
"866","0"
"867","0"
"868","0"
"869","0"
"870","0"
"871","0"
"872","1"
"873","0"
"874","1"
"875","0"
"876","1"
"877","0"
"878","1"
"879","1"
"880","1"
"881","0"
"882","0"
"883","0"
"884","0"
"885","1"
"886","0"
"887","0"
"888","1"
"889","1"
"890","1"
"891","1"
"892","0"
"893","0"
"894","1"
"895","1"
"896","0"
"897","1"
"898","1"
"899","0"
"900","1"
"901","0"
"902","1"
"903","0"
"904","1"
"905","1"
"906","0"
"907","0"
"908","0"
"909","1"
"910","0"
"911","1"
"912","1"
"913","1"
"914","0"
"915","0"
"916","0"
"917","0"
"918","1"
"919","1"
"920","1"
"921","1"
"922","0"
"923","0"
"924","1"
"925","0"
"926","1"
"927","1"
"928","1"
"929","0"
"930","1"
"931","0"
"932","1"
"933","1"
"934","1"
"935","1"
"936","1"
"937","1"
"938","0"
"939","1"
"940","0"
"941","1"
"942","1"
"943","0"
"944","1"
"945","1"
"946","0"
"947","0"
"948","0"
"949","0"
"950","0"
"951","0"
"952","0"
"953","0"
"954","0"
"955","1"
"956","0"
"957","0"
"958","1"
"959","1"
"960","1"
"961","0"
"962","0"
"963","1"
"964","0"
"965","1"
"966","0"
"967","0"
"968","0"
"969","0"
"970","0"
"971","1"
"972","0"
"973","1"
"974","1"
"975","0"
"976","0"
"977","1"
"978","1"
"979","0"
"980","0"
"981","0"
"982","0"
"983","0"
"984","1"
"985","1"
"986","0"
"987","0"
"988","1"
"989","0"
"990","0"
"991","0"
"992","1"
"993","1"
"994","0"
"995","0"
"996","0"
"997","1"
"998","1"
"999","1"
"1000","1"
